C1-01,C,C1,The example JWT_SECRET passes the startup check,,fix,src/lib/auth.ts,9,,,,C04,
C1-02,C,C1,"a missing secret is swallowed in verifySessionToken's catch, so it shows up as a login loop",,fix,src/lib/auth.ts,,,,,C49,
C1-03,C,C1,There is no rate limiting on login or register,,fix,auth.ts,21,,,,C57,
C1-04,C,C1,"login skips bcrypt when the email is unknown, so response timing reveals whether an account exists; register returns 409",,fix,login/route.ts,19,,,,C11,
C1-05,C,C1,"register does check-then-create; concurrent signups hit a unique-constraint error, unhandled, 500",,fix,register/route.ts,"19,28",,,,C27,
C1-06,C,C1,Idea lifecycle rules are not enforced: PATCH accepts status on its own; DONE with no outcome; ACTIVE with hindsight attached; calibration filters on hindsightTotal; CHECK constraints do not cover all-or-nothing,,fix,validation.ts,33,,,,C05,
C1-07,C,C1,"The Edit button stays available after an outcome is recorded. Prediction scores can be rewritten after the fact, which defeats the point of the tool",,fix,idea-detail.tsx,120,,,,C26,
C1-08,C,C1,Sessions can't be revoked; no password change or reset,,fix,auth.ts,36,,,,C20,
C1-09,C,C1,"There is no production database path: only prisma migrate dev, no migrate deploy, no Dockerfile or deploy doc",,fix,package.json,12,,,,C09,
C1-10,C,C1,docker-compose.yml publishes Postgres with the password idealog on all interfaces,,fix,docker-compose.yml,10,,,,C35,
C1-11,C,C1,"Network failures leave the UI stuck; no fetch has a try/catch; delete, share and logout ignore failures silently",,should,idea-detail.tsx,75,,,,C76,
C1-12,C,C1,"Validation errors are shown raw, and only the first issue",,should,,,,,,C70,
C1-13,C,C1,"No error handling on the server: no error.tsx, no not-found page, no try/catch around Prisma calls",,should,,,,,,C21,
C1-14,C,C1,no logging or health endpoint,,should,,,,,,C71,
C1-15,C,C1,No security headers: next.config.ts is empty,,should,next.config.ts,,,,,C33,
C1-16,C,C1,Route handlers rely on SameSite=Lax alone and never check Origin or Content-Type,,should,,,,,,C07,
C1-17,C,C1,Passwords are silently truncated at 72 bytes (confirmed),,should,validation.ts,5,,,,C44,
C1-18,C,C1,"/s/[token] has no noindex, and links can never expire",,should,,,,,,C67,
C1-19,C,C1,/s/[token] has no Referrer-Policy,,should,,,,,,C46,
C1-20,C,C1,"The share page queries the database twice, once in generateMetadata and once in the page",,should,,,,,,C48,
C1-21,C,C1,/api/share/[token] is unused by the UI yet duplicates the serialization and adds a public endpoint,,should,,,,,,C01,
C1-22,C,C1,Two likely hydration mismatches: toLocaleDateString in idea-detail; share-control renders a different URL on the server,,should,idea-detail.tsx:189; share-control.tsx:19,,,,,C72,
C1-23,C,C1,"Nothing is paginated: GET /api/ideas and /ideas load every idea with full text, then re-sort in JavaScript",,should,,,,,,C43,
C1-24,C,C1,An invalid ?status= is silently ignored and returns everything,,should,,,,,,C28,
C1-25,C,C1,No tests and no CI,,investigate,,,,,,C68,
C1-26,C,C1,tsc --noEmit on its own fails with Cannot find name 'LayoutProps'; CI needs a typegen step first,,investigate,layout.tsx,21,,,,C13,
C1-27,C,C1,"pnpm audit reports one high finding, deepmerge-ts under prisma > @prisma/config; move prisma to devDependencies",,investigate,,,,,,C24,
